지형지물,관리번호,관리기관,법정동,지번,수종코드,보호판유무,X,Y
가로수,81000001,용인시,공세동,717 도,은행나무,Y,210835.886,416243.837
가로수,81000002,용인시,공세동,717 도,은행나무,Y,210827.658,416240.638
가로수,81000003,용인시,공세동,717 도,은행나무,Y,210819.441,416237.05
가로수,81000004,용인시,공세동,717 도,은행나무,Y,210812.144,416233.998
가로수,81000005,용인시,공세동,717 도,은행나무,Y,210803.366,416230.298
가로수,81000006,용인시,공세동,717 도,은행나무,Y,210843.105,416229.934
가로수,81000007,용인시,공세동,717 도,은행나무,Y,210796.019,416227.957
가로수,81000008,용인시,공세동,717 도,은행나무,Y,210835.705,416227.051
가로수,81000009,용인시,공세동,717 도,은행나무,Y,210789.047,416226.588
가로수,81000010,용인시,공세동,717 도,은행나무,Y,210780.947,416224.946
가로수,81000011,용인시,공세동,717 도,은행나무,Y,210827.575,416223.599
가로수,81000012,용인시,공세동,717 도,은행나무,Y,210773.556,416221.244
가로수,81000013,용인시,공세동,717 도,은행나무,Y,210820.269,416220.658
가로수,81000014,용인시,공세동,717 도,은행나무,Y,210813.793,416218.077
가로수,81000015,용인시,공세동,717 도,은행나무,Y,210765.249,416216.825
가로수,81000016,용인시,공세동,717 도,은행나무,Y,210805.482,416214.734
가로수,81000017,용인시,공세동,717 도,은행나무,Y,210799.22,416211.441
가로수,82000005,용인시,공세동,718 도,은행나무,Y,210142.264,416111.248
가로수,82000007,용인시,공세동,718 도,은행나무,Y,210135.498,416107.333
가로수,82000013,용인시,공세동,718 도,은행나무,Y,210146.093,416102.292
가로수,82000014,용인시,공세동,718 도,은행나무,Y,210138.678,416098.339
가로수,82000016,용인시,공세동,718 도,은행나무,Y,210112.903,416094.208
가로수,82000017,용인시,공세동,718 도,은행나무,Y,210130.849,416093.832
가로수,82000018,용인시,공세동,718 도,은행나무,Y,210104.554,416089.401
가로수,82000019,용인시,공세동,718 도,은행나무,Y,210123.093,416089.299
가로수,82000020,용인시,공세동,718 도,은행나무,Y,210097.575,416085.391
가로수,82000021,용인시,공세동,718 도,은행나무,Y,210116.134,416085.29
가로수,82000022,용인시,공세동,718 도,은행나무,Y,210090.801,416081.422
가로수,82000023,용인시,공세동,718 도,은행나무,Y,210108.354,416080.736
가로수,82000024,용인시,공세동,718 도,은행나무,Y,210083.976,416077.453
가로수,82000025,용인시,공세동,718 도,은행나무,Y,210101.433,416076.766
가로수,82000026,용인시,공세동,718 도,은행나무,Y,210076.844,416073.367
가로수,82000027,용인시,공세동,718 도,은행나무,Y,210094.496,416072.754
가로수,82000028,용인시,공세동,718 도,은행나무,Y,210069.907,416069.336
가로수,82000029,용인시,공세동,718 도,은행나무,Y,210087.529,416068.715
가로수,82000030,용인시,공세동,718 도,은행나무,Y,210080.608,416064.69
가로수,82000031,용인시,공세동,718 도,은행나무,Y,210061.248,416064.332
가로수,82000032,용인시,공세동,718 도,은행나무,Y,210073.67,416060.64
가로수,82000033,용인시,공세동,718 도,은행나무,Y,210054.301,416060.273
가로수,82000034,용인시,공세동,718 도,은행나무,Y,210047.354,416056.225
가로수,82000035,용인시,공세동,718 도,은행나무,Y,210065.874,416056.178
가로수,82000036,용인시,공세동,718 도,은행나무,Y,210040.284,416052.153
가로수,82000037,용인시,공세동,718 도,은행나무,Y,210058.918,416052.148
가로수,82000038,용인시,공세동,718 도,은행나무,Y,210033.454,416048.137
가로수,82000039,용인시,공세동,718 도,은행나무,Y,210051.944,416048.075
가로수,82000040,용인시,공세동,718 도,은행나무,Y,210026.464,416044.162
가로수,82000041,용인시,공세동,718 도,은행나무,Y,210044.662,416043.695
가로수,82000042,용인시,공세동,718 도,은행나무,Y,210019.51,416040.338
가로수,82000043,용인시,공세동,718 도,은행나무,Y,210037.818,416039.887
가로수,82000044,용인시,공세동,718 도,은행나무,Y,210030.786,416035.69
가로수,82000045,용인시,공세동,718 도,은행나무,Y,210023.87,416031.684
가로수,82000046,용인시,공세동,718 도,은행나무,Y,210001.402,416030.784
가로수,82000047,용인시,공세동,718 도,은행나무,Y,210015.918,416027.45
가로수,82000048,용인시,공세동,718 도,은행나무,Y,209994.275,416027.351
가로수,82000049,용인시,공세동,718 도,은행나무,Y,209986.781,416023.909
가로수,82000050,용인시,공세동,718 도,은행나무,Y,210008.613,416023.816
가로수,82000051,용인시,공세동,718 도,은행나무,Y,209980.507,416021.053
가로수,82000052,용인시,공세동,718 도,은행나무,Y,210001.707,416020.508
가로수,82000053,용인시,공세동,718 도,은행나무,Y,209974.087,416017.859
가로수,82000054,용인시,공세동,718 도,은행나무,Y,209994.379,416017.062
가로수,82000055,용인시,공세동,718 도,은행나무,Y,209967.823,416014.976
가로수,82000056,용인시,공세동,718 도,은행나무,Y,209988.044,416014.124
가로수,82000057,용인시,공세동,718 도,은행나무,Y,209978.367,416009.602
가로수,82000058,용인시,공세동,718 도,은행나무,Y,209971.06,416006.084
가로수,82000059,용인시,공세동,718 도,은행나무,Y,209946.395,416005.01
가로수,82000060,용인시,공세동,718 도,은행나무,Y,209934.637,415999.514
