지역명,average return (%),average gain and loss (unit: 10000won),median return (%),median gain and loss (unit: 10000won),bottom 25% return (%),bottom 25% gain and loss (unit: 10000won),top 25% return (%),top 25% gain and loss (unit: 10000won),local_name,특수목적고 진학 합계 (명),특목고 합격 비율 (%),middle school rating,high school rating,middle + high school rating,average price (unit:10000won),median price (unit:10000won),bottom 25% price (unit:10000won),top 25% price (unit:10000won),Number of jobs by withholding region,salary per person by withholding region,salary per person by residence
화성시,31.3,6614,32.3,6100,12.9,2087.5,43.2,11125,Hwaseong-si,167,2.5,3620,5707,10140.93,27729,25000,18300,36900,369318 ,3769.0,4187.4
하남시,44.7,14906,66.3,21200,38.9,10500,68.6,24000,Hanam-si,24,1.59,750,4658,6932.12,48242,53200,37500,59000,54452 ,2715.7,3634.8
포천시,0.7,85,-3.1,-375,0.8,75,-10.2,-1700,Pocheon-si,17,1.28,580,4063,6001.37,12343,11625,10075,15000,75746 ,2686.5,2530.6
평택시,-17.5,-2804,-22.6,-3500,-26.6,-3825,-17.6,-3000,Pyeongtaek-si,52,1.1,1310,4056,6436.94,13260,12000,10575,14000,179657 ,3668.8,3412.8
팔달구,18.4,4690,16,4300,9.8,2123,22.6,6525,Paldal-gu,41,2.05,1340,4287,6776.33,30168,31150,23806,35450,414589 ,5346.7,3923.8
파주시,-1.6,-301,-7.5,-1450,-4.7,-700,-6,-1300,Paju-si,123,2.94,2850,5302,9108.28,18642,17950,14300,20200,133110 ,2810.0,3294.8
처인구,8.8,1445,-4.3,-700,-5.3,-725,32.1,5675,Cheoin-gu,24,1.11,750,3178,4874.92,17849,15700,13075,23375,286682 ,3968.6,4345.5
중원구,23.3,7898,20.8,7400,11.7,3400,42.1,15550,Jungwon-gu,28,1.61,860,5531,8212.69,41816,42900,32400,52500,411406 ,4150.4,4489.0
중랑구,36,10769,30.8,9175,37.3,9737.5,35.8,11700,Jungnang-gu,59,2.31,2040,6310,10015.3,40696,39000,35850,44400,54870 ,2687.5,2775.5
중구,48.1,23340,46.2,22900,34.8,16425,54.4,28025,Jung-gu,20,2.77,910,-506,-148.24,71885,72500,63575,79500,542973 ,4292.2,4308.4
종로구,44.6,17760,45.5,20000,10.9,3750,43.8,20400,Jongno-gu,53,4.84,1950,6909,10793.01,57612,64000,38000,67000,379727 ,4716.4,4644.8
